Zipcode,Total Inventory,,,,,
10270,no info,,,,,
10279,1865,,,,,
10280,250,,,,,
10281,no inf,,,,,
10282,120,,,,,
12337,NO INFO ,,,,,
10301,3730,,,,,
10303,3710,,,,,
10304,5100,,,,,
10305,2840,,,,,
10308,1340,,,,,
10312,2940,,,,,
10314,4960,,,,,
11354,"3,320",,,,,
11355,"5,520",,,,,
11356,"2,180",,,,,
11357,"1,740",,,,,
11358,"1,980",,,,,
11360,790,,,,,
11361,"1,450",,,,,
11362,210,,,,,
11364,"1,750",,,,,
11365,"2,940",,,,,
11366,750,,,,,
11367,"2,820",,,,,
11368,"14,040",,,,,
11369,"4,800",,,,,
11370,"2,240",,,,,
11372,"6,690",,,,,
11373,"8,540",,,,,
11374,"3,170",,,,,
11375,"3,460",,,,,
11377,"6,810",,,,,
11379,"2,080",,,,,
11385,"9,870",,,,,
10080,NO INOF,,,,,
7305,INO INFO,,,,,
11411,"3,330",,,,,
11412,"6,640",,,,,
11413,"7,300",,,,,
11415,"1,300",,,,,
11416,"3,250",,,,,
11417,"3,350",,,,,
11418,"4,120",,,,,
11419,"5,520",,,,,
11421,"4,950",,,,,
11423,"3,900",,,,,
11426,"1,110",,,,,
11427,"2,020",,,,,
11432,"5,190",,,,,
11434,"11,070",,,,,
11435,"11,070",,,,,
10451,"8,800",,,,,
10452,"14,060",,,,,
10453,"14,810",,,,,
10454,"6,520",,,,,
10455,"7,080",,,,,
10456,"16,630",,,,,
10457,"13,030",,,,,
10458,"12,210",,,,,
10459,"8,500",,,,,Andrea
10460,"9,960",,,,,
10462,"11,350",,,,,
10463,"7,670",,,,,
10464,280,,,,,
10465,"4,460",,,,,
10466,"12,030",,,,,
10467,"15,290",,,,,
10468,"12,630",,,,,
10469,"10,470",,,,,
10471,"1,270",,,,,
10472,"9,550",,,,,
10473,"10,070",,,,,
10475,"6,470",,,,,
11001,"2,460",,,,,
11004,"1,630",,,,,
10001,"1,090",,,,,
10002,"6,020",,,,,
10003,960,,,,,
10004,120,,,,,
10005,150,,,,,
10006,70,,,,,
7305,No info,,,,,
10007,160,,,,,
10009,"3,640",,,,,
1001,no info,,,,,
10010,690,,,,,
10011,"1,360",,,,,
10012,480,,,,,
10013,880,,,,,
10014,560,,,,,
10016,"1,070",,,,,
10017,400,,,,,
10018,360,,,,,
10019, ,,,,,
10020,no info,,,,,
10021,810,,,,,
10022,600,,,,,
"10023',","1,640",,,,,
"10024',","1,670",,,,,
"10025',","5,250",,,,,
"10026',","4,460",,,,,
"10027',","6,530",,,,,
"10028',",990,,,,,
"10029',","9,360",,,,,
"10030',","4,290",,,,,
"10031',","7,160",,,,,
"10032',","7,370",,,,,
"10033',","6,100",,,,,
"10034',","5,090",,,,,
"10035',","4,440",,,,,
"10036',","1,130",,,,,
"10037',","3,050",,,,,
"10038',","1,090",,,,,
"10039',","4,760",,,,,
"10040',","5,120",,,,,
"10044',",450,,,,,
"10065',",640,,,,,
"10069',",130,,,,,
"10075',",520,,,,,
"10078',",no info,,,,,
"10100',",o info,,,,,
"10106',",no info,,,,,
"10119',",no info,,,,,
"10128',","1,890",,,,,
"10129',",no info,,,,,
"10162',",40,,,,,
"10302',","1,950",,,,,
"10306',","3,330",,,,,
"10307',",620,,,,,
"10310',","2,570",,,,,
"10461',","5,210",,,,,
"10470',","1,790",,,,,
"10474',","1,980",,,,,
"10552',","2,120",,,,,
"10704',","2,760",,,,,
"10705',","5,440",,,,,
"11101',","1,320",,,,,
"11102',",nofi,,,,,
"11103',","6,380",,,,,
"11104',",620,,,,,
"11105',",0,,,,,
"11106',",2640,,,,,
"11109',",150,,,,,
"11201',",2280,,,,,
"11203',",13480,,,,,
"11204',",4130,,,,,
"11205',",3420,,,,,
"11206',",9040,,,,,
"11207',",16690,,,,,
"11208',",16350,,,,,
"11209',",3660,,,,,
"1121',",no info,,,,,
"11210',",8630,,,,,
"11211',",3390,,,,,
"11212',",16500,,,,,
"11213',",9410,,,,,
"11214',",5780,,,,,
"11215',",2560,,,,,
"11216',",6640,,,,,
"11217',",2230,,,,,
"11218',",4670,,,,,
"11219',",3890,,,,,
"11220',",8760,,,,,
"11221',",11290,,,,,
"11222',",1430,,,,,
"11223',",4840,,,,,
"11224',",4690,,,,,
"11225',",8550,,,,,
"11226',",17640,,,,,
"11228',",2160,,,,,
"11229',",5090,,,,,
"11230',",4920,,,,,
"11231',",2280,,,,,
"11232',",2430,,,,,
"11233',",11900,,,,,
"11234',",10070,,,,,
"11235',",5590,,,,,
"11236',",18100,,,,,
"11237',",5280,,,,,
"11238',",4400,,,,,
"11239',",2670,,,,,
"11249',",no info,,,,,
"11378',",2720,,,,,
"11414',",1840,,,,,
"11420',",5950,,,,,
"11422',",5470,,,,,
"11428',",2110,,,,,
"11429',",4290,,,,,
"11433',",5830,,,,,
"11436',",3110,,,,,
"11580',",4360,,,,,
"11581',",1520,,,,,
"11691',",7640,,,,,
"11692',",3170,,,,,
"11693',",1380,,,,,
"11694',",1130,,,,,
"12266',",no info,,,,,
"7086',",is not a ny zipcode,,,,,
"7310',",is not a ny zipcode,,,,,
"80205',",is not a ny zipcode,,,,,
99135'},is not a ny zipcode,,,,,